name,language,handwritten,year_range
64166.pdf,de,True,1895-1899
42656.pdf,de,True,1895-1899
42661.pdf,de,True,1895-1899
42703.pdf,de,True,1895-1899
42612.pdf,de,True,1895-1899
42582.pdf,de,True,1895-1899
42711.pdf,de,True,1895-1899
42733.pdf,de,True,1895-1899
42640.pdf,de,True,1895-1899
42332.pdf,de,True,1885-1889
42407.pdf,de,True,1885-1889
42410.pdf,de,True,1885-1889
42320.pdf,de,True,1885-1889
42358.pdf,de,True,1885-1889
42364.pdf,de,True,1885-1889
42353.pdf,de,True,1885-1889
42280.pdf,de,True,1885-1889
42287.pdf,de,True,1885-1889
42281.pdf,de,True,1885-1889
42284.pdf,de,True,1885-1889
42372.pdf,de,True,1885-1889
42296.pdf,de,True,1885-1889
42309.pdf,de,True,1885-1889
42378.pdf,de,True,1885-1889
42267.pdf,de,True,1885-1889
42323.pdf,de,True,1885-1889
42384.pdf,de,True,1885-1889
42402.pdf,de,True,1885-1889
63120.pdf,de,True,1885-1889
42357.pdf,de,True,1885-1889
42406.pdf,de,True,1885-1889
42264.pdf,de,True,1885-1889
42330.pdf,de,True,1885-1889
42345.pdf,de,True,1885-1889
42341.pdf,de,True,1885-1889
42404.pdf,de,True,1885-1889
42348.pdf,de,True,1885-1889
42400.pdf,de,True,1885-1889
42397.pdf,de,True,1885-1889
42292.pdf,de,True,1885-1889
42339.pdf,de,True,1885-1889
42279.pdf,de,True,1885-1889
42337.pdf,de,True,1885-1889
42266.pdf,de,True,1885-1889
42288.pdf,de,True,1885-1889
42270.pdf,de,True,1885-1889
42265.pdf,de,True,1885-1889
42351.pdf,de,True,1885-1889
42363.pdf,de,True,1885-1889
42395.pdf,de,True,1885-1889
42322.pdf,de,True,1885-1889
42326.pdf,de,True,1885-1889
42409.pdf,de,True,1885-1889
42286.pdf,de,True,1885-1889
42344.pdf,de,True,1885-1889
42291.pdf,de,True,1885-1889
42374.pdf,de,True,1885-1889
42396.pdf,de,True,1885-1889
42385.pdf,de,True,1885-1889
42405.pdf,de,True,1885-1889
42349.pdf,de,True,1885-1889
42305.pdf,de,True,1885-1889
42300.pdf,de,True,1885-1889
42394.pdf,de,True,1885-1889
42276.pdf,de,True,1885-1889
42282.pdf,de,True,1885-1889
42399.pdf,de,True,1885-1889
42370.pdf,de,True,1885-1889
42390.pdf,de,True,1885-1889
42278.pdf,de,True,1885-1889
42331.pdf,de,True,1885-1889
42343.pdf,de,True,1885-1889
42365.pdf,de,True,1885-1889
42335.pdf,de,True,1885-1889
42355.pdf,de,True,1885-1889
42268.pdf,de,True,1885-1889
42373.pdf,de,True,1885-1889
42380.pdf,de,True,1885-1889
42273.pdf,de,True,1885-1889
42283.pdf,de,True,1885-1889
42321.pdf,de,True,1885-1889
42361.pdf,de,True,1885-1889
42368.pdf,de,True,1885-1889
42329.pdf,de,True,1885-1889
42277.pdf,de,True,1885-1889
42386.pdf,de,True,1885-1889
42261.pdf,de,True,1885-1889
42333.pdf,de,True,1885-1889
42302.pdf,de,True,1885-1889
42375.pdf,de,True,1885-1889
42354.pdf,de,True,1885-1889
42262.pdf,de,True,1885-1889
42295.pdf,de,True,1885-1889
44504.pdf,de,True,1920-1924
44639.pdf,de,True,1920-1924
42978.pdf,de,True,1905-1909
43115.pdf,de,True,1905-1909
42919.pdf,de,True,1905-1909
42929.pdf,de,True,1905-1909
42946.pdf,de,True,1905-1909
43018.pdf,de,True,1905-1909
42980.pdf,de,True,1905-1909
42992.pdf,de,True,1905-1909
42974.pdf,de,True,1905-1909
42948.pdf,de,True,1905-1909
42998.pdf,de,True,1905-1909
43067.pdf,de,True,1905-1909
42935.pdf,de,True,1905-1909
42949.pdf,de,True,1905-1909
42963.pdf,de,True,1905-1909
43106.pdf,de,True,1905-1909
42971.pdf,de,True,1905-1909
43109.pdf,de,True,1905-1909
42941.pdf,de,True,1905-1909
42944.pdf,de,True,1905-1909
43030.pdf,de,True,1905-1909
43044.pdf,de,True,1905-1909
42927.pdf,de,True,1905-1909
42931.pdf,de,True,1905-1909
42984.pdf,de,True,1905-1909
42933.pdf,de,True,1905-1909
43000.pdf,de,True,1905-1909
42955.pdf,de,True,1905-1909
41204.pdf,de,True,1850-1854
41203.pdf,de,True,1850-1854
41200.pdf,de,True,1850-1854
41181.pdf,de,True,1850-1854
41070.pdf,de,True,1850-1854
41163.pdf,de,True,1850-1854
41214.pdf,de,True,1850-1854
41122.pdf,de,True,1850-1854
41107.pdf,de,True,1850-1854
41205.pdf,de,True,1850-1854
41146.pdf,de,True,1850-1854
41178.pdf,de,True,1850-1854
41083.pdf,de,True,1850-1854
41136.pdf,de,True,1850-1854
41166.pdf,de,True,1850-1854
41089.pdf,de,True,1850-1854
41073.pdf,de,True,1850-1854
41197.pdf,de,True,1850-1854
41209.pdf,de,True,1850-1854
41179.pdf,de,True,1850-1854
41194.pdf,de,True,1850-1854
41147.pdf,de,True,1850-1854
41153.pdf,de,True,1850-1854
41098.pdf,de,True,1850-1854
41072.pdf,de,True,1850-1854
41158.pdf,de,True,1850-1854
41079.pdf,de,True,1850-1854
41064.pdf,de,True,1850-1854
41169.pdf,de,True,1850-1854
41086.pdf,de,True,1850-1854
41114.pdf,de,True,1850-1854
41185.pdf,de,True,1850-1854
41066.pdf,de,True,1850-1854
41174.pdf,de,True,1850-1854
41123.pdf,de,True,1850-1854
41095.pdf,de,True,1850-1854
41165.pdf,de,True,1850-1854
41208.pdf,de,True,1850-1854
41141.pdf,de,True,1850-1854
41213.pdf,de,True,1850-1854
41177.pdf,de,True,1850-1854
41062.pdf,de,True,1850-1854
41171.pdf,de,True,1850-1854
41075.pdf,de,True,1850-1854
41170.pdf,de,True,1850-1854
41167.pdf,de,True,1850-1854
41202.pdf,de,True,1850-1854
41198.pdf,de,True,1850-1854
41196.pdf,de,True,1850-1854
41192.pdf,de,True,1850-1854
41084.pdf,de,True,1850-1854
41156.pdf,de,True,1850-1854
41109.pdf,de,True,1850-1854
41191.pdf,de,True,1850-1854
41145.pdf,de,True,1850-1854
41161.pdf,de,True,1850-1854
41139.pdf,de,True,1850-1854
41157.pdf,de,True,1850-1854
41173.pdf,de,True,1850-1854
41708.pdf,de,True,1865-1869
41625.pdf,de,True,1865-1869
41737.pdf,de,True,1865-1869
41567.pdf,de,True,1865-1869
41639.pdf,de,True,1865-1869
41696.pdf,de,True,1865-1869
41551.pdf,de,True,1865-1869
41685.pdf,de,True,1865-1869
